user;document;corpus;paragraph;system_relevance;perceived_relevance;system_relevance_type;f_average_fixation_duration;f_average_forward_saccades_length;f_regression_ratio;f_thorough_reading_ratio;f_coherently_read_text_length
B01;g-rel_q103-1;g-rel;0;False;False;i;0.24632340166527453;177.30419609066368;0.0;0.9229131765040159;10513.415647493628
B01;g-rel_q116-1;g-rel;0;True;True;r;0.3227359557574128;161.69814480221075;0.0;1.0;27121.802683135375
B01;g-rel_q088-1;g-rel;0;False;False;t;0.28424317744820893;153.00493567549572;0.0;1.0;26291.88220173145
B01;g-rel_q085-2;g-rel;0;False;False;i;0.25152989038287094;160.5455439661113;0.0;0.8230014020471451;8260.789000973493
B01;g-rel_q097-2;g-rel;0;False;False;t;0.3058861792311017;153.31668893505568;0.0;0.9483879423202314;20529.1453265512
B01;g-rel_q076-1;g-rel;0;True;True;r;0.2833791337247143;152.59697487687953;0.0;1.0;15395.72995411757
B01;g-rel_q118-1;g-rel;0;True;True;r;0.2872868868841844;153.66383056635792;0.0;0.9169131738077351;23259.541441206464
B01;g-rel_q075-1;g-rel;0;False;False;i;0.34708869941569265;158.2020540563005;0.0;0.8966743723334639;21046.734633165717
B01;g-rel_q122-2;g-rel;0;False;False;i;0.2747513465252145;158.3331624715967;0.0;1.0;0.0
B01;g-rel_q128-1;g-rel;0;True;True;r;0.297908051905956;158.09448956810874;0.0;0.9506545868349504;21742.76770500531
B02;g-rel_q075-1;g-rel;0;False;False;i;0.24397090164795734;156.73288762233972;0.0;1.0;8973.913722289773
B02;g-rel_q128-1;g-rel;0;True;True;r;0.3142340931064779;208.6373800688908;0.0;0.5656453941748272;3524.010280691768
B02;g-rel_q076-1;g-rel;0;True;False;r;0.32498080266660795;177.02581431146214;0.0;0.8249901622483502;6577.645372244082
B02;g-rel_q134-3;g-rel;0;False;False;t;0.29475616684426;174.70000583626023;0.0;0.8541489408433782;8985.410997697376
B02;g-rel_q088-1;g-rel;0;False;True;t;0.32806489114269066;164.69329409083227;0.0;0.7567674672425873;7201.056536258757
B02;g-rel_q122-2;g-rel;0;False;False;i;0.3116411834845633;194.85962753805146;0.0;0.5361480416000113;5668.907631540318
B02;g-rel_q116-1;g-rel;0;True;False;r;0.3420799961040852;201.7445112744763;0.0;0.5641447707284304;5719.992029049675
B02;g-rel_q097-2;g-rel;0;False;True;t;0.3202008326337255;165.59551374565092;0.0;0.7694559290413249;12242.980116147635
B02;g-rel_q094-2;g-rel;0;False;True;t;0.2981544861552124;170.59172935486527;0.0;0.9307760666214163;12055.645238712854
B02;g-rel_q118-1;g-rel;0;True;True;r;0.30220415567281905;167.70124615744217;0.0;0.780179504273645;8958.279912676604
B02;g-rel_q103-1;g-rel;0;False;False;i;0.30534221385806465;179.1377982509807;0.0;0.6637848574692458;7336.955506791654
